In order to compare U133A and U133 Plus 2.0 data  we further normalized the data with a rank-based normalization method .,false,true,method
However  the demographic event can not be dated or quantified .,false,false,method
Similar results were obtained for the other parameters of the model ( not shown ) .,false,true,method
The first is based on clustering across the three matrices described above ( whole data  root  shoot ) .,true,false,method
In addition  HRV power spectral analysis lightens the burden imposed on subjects during an experiment  unlike invasive measurements  i.e.  plasma catecholamine concentration and muscle sympathetic nerve activity .,false,true,method
Conventionally  FRET was determined by comparing the donor intensity of the donor-acceptor sample to that of the donor only sample  while concurrently comparing the acceptor intensity of the donor-acceptor sample to that of the acceptor only sample ( e.g.  [ 24  27  31  34 ] ; Table 1 ) .,false,true,method
To ensure that the alignment dataset was suitable for phylogenetic analyses likelihood mapping was carried out using the program TreePuzzle [ 46 ] .,false,true,method
The extent of lipid peroxidation can be estimated by measurement of thiobarbituric reactive substances ( TBARS ) .,false,false,method
On the other hand  there was little consistency in genes with minimal CV .,false,true,method
Most publicly available data are stored as positive measured results  and therefore most analyses have employed the most obvious method to infer interactions ; a positive observation indicates an interaction  whereas a negative observation or no observation does not .,true,false,method
The Ortholuge method reported here appears to significantly improve the specificity ( precision ) of high-throughput ortholog prediction for both bacterial and eukaryotic species .,true,true,method
The x-axis depicts the nt site within the alignment .,true,false,method
In the Bioinformatics field  a great deal of interest has been given to Non-negative matrix factorization technique ( NMF )  due to its capability of providing new insights and relevant information about the complex latent relationships in experimental data sets .,true,false,method
[ 113 ] was used to moderate the standard error of the estimated log-fold changes .,false,true,method
The interfacial stiffness was defined as the slope ( Nm / degree of the torque-rotation curve ) calculated from a linear regression analysis of the data between 0  5° and 3° .,false,true,method
For the lactating woman  a short-term method of contraception that poses no halakhic problem is that of the lactational amenorrhea method ( LAM ) .,true,false,method
We here describe PRODISTIN  a new computational method allowing the functional clustering of proteins on the basis of protein-protein interaction data .,true,false,method
Meanwhile  novel methods in drug susceptibility testing have been developed  such as the histidine-rich protein II ( HRP-2 ) assay [ 7 ] .,true,false,method
We were able to measure the quantity of dye bound using time-resolved fluorescence spectroscopy  as an estimate of the ribozyme double helical content .,false,true,method
They looked for genes whose expression in the high sigma E activity strain differed most from genes in the low sigma E activity strain  and then searched upstream of these genes for promoters containing these sigma sites ( the region to which the transcription machinery binds ) .,true,true,method
By using different polymorphic tandem repeats ( Variable Number Tandem Repeats )  it is possible to discriminate strains for a low cost with ordinary molecular biology equipment and the data can be easily exchanged and compared [ 12 ] .,true,false,method
We introduce a method for determining the active reactions in a genome-scale metabolic network based on a limited number of experimentally measured fluxes .,false,false,method
We use an optimised version of our recently published composite scoring function QMEAN [ 33 ] in order to define an ensemble of reference models which is used to calculate the structural consensus score .,true,false,method
We have developed a DNA microarray-based method for measuring transcript length on a genomic scale .,true,false,method
Further  our implementation has been automated for Affymetrix short oligonucleotide microarrays and can generate a list of candidate SFPs when provided only with an experimental design file pointing to raw .CEL files .,true,true,method
Strengths and limitations : In this trial  health-care providers were randomized  rather than patients .,false,true,method
Dual modality SPECT / CT imaging enables to quantify  with a high degree of precision  blood pool localized in a specific area of interest ( in our study  the " soft " and " hard " tissues composing a limb ) .,true,false,method
Out of 41 naturally contaminated infant formulae and environmental samples analysed for the presence of E. sakazakii  23 were positive by real-time PCR and 22 by the conventional culture method  giving 97.5 % concordance with the ISO-IDF reference method .,false,true,method
The second method used was that of cumulated amounts ( CUSUM ) [ 13  14 ]  non routinely used by the systems in French Guiana and used with a verification aim .,false,true,method
Enault and colleagues proposed an improved phylogenetic profile based on a normalized Blastp bit score [ 4 ] .,false,true,method
The choice of the transition point ( s ) and the output format depend closely on one another ; regardless of this  the algorithm selects points that are consistent in their location on each distribution for any given analysis .,true,false,method
